target_id	day0_1_count	day0_1_tpm	day0_2_count	day0_2_tpm	day0_3_count	day0_3_tpm	day1_1_count	day1_1_tpm	day1_2_count	day1_2_tpm	day1_3_count	day1_3_tpm	day2_1_count	day2_1_tpm	day2_2_count	day2_2_tpm	day2_3_count	day2_3_tpm
FBtr0079229	3	0.00303024	0	0	4	0.00373224	2	0.0014037	0	0	0	0	0	0	0	0	1	0.000558891
FBtr0332602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0079228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0083502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0300767	0	0	0	0	4	0.0301053	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0086055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0086054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0086056	6.48E-07	1.03E-09	0	0	5.25E-07	7.68E-10	8.06954	0.00888591	1.70E-06	1.81E-09	9.16E-07	8.93E-10	5.51E-07	5.87E-10	2.56E-07	2.29E-10	1.03E-06	9.07E-10
FBtr0086053	32	0.0514039	61	0.0859156	49	0.0727103	8.93046	0.00996803	34	0.036531	23	0.0227246	10	0.0107979	6	0.00543861	23	0.020443
FBtr0084942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0073062	1	0.0171346	0	0	2	0.0316562	0	0	0	0	0	0	0	0	4	0.0386746	1	0.00948082
FBtr0081899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0344635	33	0.063859	56	0.0950151	33.5	0.0598835	21	0.0282369	8.5	0.0110018	12.5	0.0148779	21.5	0.0279666	34.5	0.037672	19	0.0203438
FBtr0074339	10.3003	0.0268645	51.3054	0.117325	104.297	0.251278	40.9262	0.0741686	58.1262	0.1014	34.253	0.0549478	35.5481	0.0623217	38.9765	0.0573619	44.4027	0.0640781
FBtr0303286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0111009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0310014	0	0	0.883603	0.000635988	0	0	0	0	0	0	0	0	0.895425	0.000494104	0	0	0	0
FBtr0310016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0073955	7	0.00219504	6	0.00164965	6	0.001738	4	0.000871554	20	0.0041948	2	0.000385743	1	0.000210784	3	0.000530831	7	0.00121455
FBtr0310015	0	0	9.89E-05	7.06E-08	0	0	0	0	0	0	0	0	5.85E-05	3.20E-08	0	0	0	0
FBtr0303285	0	0	0.116298	8.36E-05	0	0	0	0	0	0	0	0	0.104516	5.76E-05	0	0	0	0
FBtr0308891	0	0	1.18083	0.000406603	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0110905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
